level_name,word_count,content
"Cat on the Mat",60,"The cat sat on the mat. It was a sunny day. The birds sang in the trees. The dog barked at the mailman. The kids played in the park. They had fun all day long. The sun shone bright in the sky. The flowers bloomed in the garden. A bee buzzed by the window. The children laughed and ran around."
"Jack and Jill's Spill",49,"Jack and Jill went up the hill to fetch a pail of water. Jack fell down and broke his crown, and Jill came tumbling after. The sky was blue, and the grass was green. Birds flew over the fields. The sheep grazed quietly. The farmer walked along the road."
"Red Riding's Shortcut",55,"Once upon a time, there was a little girl named Red Riding Hood. She went to visit her grandmother. She walked through the woods. She picked some flowers. She saw a wolf. The wolf was big and bad. He asked her where she was going. She told him. He ran ahead to the grandmother's house."
"Fox's Fancy Jump",53,"The quick brown fox jumps over the lazy dog. This sentence uses every letter. Typing practice can be fun. Use simple words to build speed. Practice makes perfect. Keep your fingers on the home keys. Look at the screen, not at your hands. Type each word carefully. Do not rush. Accuracy is important."
"Mary's Lamb Tale",64,"Mary had a little lamb, its fleece was white as snow. Everywhere that Mary went, the lamb was sure to go. It followed her to school one day, which was against the rules. It made the children laugh and play, to see a lamb at school. The teacher turned it out, but still it lingered near. It waited patiently about till Mary did appear."
"Sunrise to Sunset",59,"The sun rises in the east and sets in the west. Birds fly in the sky. Fish swim in the sea. Trees grow tall in the forest. The grass is green. The sky is blue. The clouds are white. The flowers are red, yellow, and pink. Children play in the park. Dogs bark at strangers. Cats purr when happy."
"Baker's Dozen Delight",66,"In a small town, there was a baker who made the best bread. People came from afar to buy his loaves. He used fresh flour and pure water. Every morning, he woke up early to knead the dough. The smell of baking filled the streets. Children loved his buns and cakes. The baker smiled as he saw happy faces. He worked hard but enjoyed his job."
"Zoo-tastic Adventure",68,"At the zoo, the lions roared loudly. The monkeys swung from tree to tree. The elephants sprayed water with their trunks. The kids watched with wide eyes. They fed peanuts to the goats. The zookeeper told them about the animals. They learned that tigers have stripes. Zebras have black and white stripes. Giraffes have long necks to reach high leaves. They had a fun day at the zoo."
"Frog Meets Fish",63,"Once there was a frog who lived in a pond. He liked to catch flies. One day, he met a fish. The fish said hello. They became friends. They played games in the water. The frog jumped on lily pads. The fish swam around him. They had fun every day. The frog told jokes. The fish laughed. They shared stories. They were happy."
"Rainbow After Rain",67,"The rain fell softly on the ground. The children wore boots and coats. They splashed in puddles. They laughed and sang songs. The ducks quacked in the pond. The rain made the plants grow. After the rain, the sun came out. A rainbow appeared in the sky. The air smelled fresh and clean. They looked at the bright colors. Red, orange, yellow, green, blue, indigo, and violet."
